t,input,std_recon,dsl_recon
434,-0,-0.0518801,-7.18791e-10
435,-0,-0.0069797,2.92618e-10
436,-0,0.0607307,4.33635e-11
437,-0,0.021746,-2.83833e-10
438,-0,-0.000347182,3.32083e-10
439,-0,-0.0305133,2.86894e-10
440,-0,0.0133625,6.91708e-10
441,-0,0.0534124,-2.56332e-10
442,-0,-0.0247303,-4.27594e-10
443,-0,-0.0081638,6.95735e-10
444,-0,-0.0431171,-5.31461e-10
445,-0,0.0394411,-5.08272e-10
446,-0,-0.040002,1.0534e-09
447,-0,-0.0230622,-2.16394e-11
448,-0,0.0435212,1.25095e-09
449,-0,-0.0299051,6.1679e-10
450,-0,-0.00335711,-4.91927e-10
451,-0,0.0220079,-3.78625e-10
452,-0,0.0805575,-5.61423e-10
453,-0,-0.0468443,-2.53586e-10
454,-0,-0.0101662,4.98507e-10
455,-0,-0.0110594,4.78436e-10
456,-0,0.0285838,1.61079e-10
457,-0,0.0353138,-1.15979e-09
458,-0,-0.108465,-9.67877e-10
459,-0,-0.0313453,-4.82491e-10
460,-0,-0.010723,-3.89635e-10
461,-0,-0.0248052,1.6642e-11
462,-0,0.0446528,-3.01603e-10
463,-0,-0.0501512,-1.70651e-10
464,-0,-0.0836797,-2.82791e-10
465,-0,0.0837803,-4.13731e-10
466,-0,-0.0491153,1.71626e-10
467,-0,0.00161829,6.24599e-10
468,-0,-0.0430968,-6.95152e-10
469,-0,-0.0328223,1.29615e-10
470,-0,-0.0124213,3.6701e-10
471,-0,0.0389376,-9.70364e-10
472,-0,-0.041811,-7.59604e-10
473,-0,0.067054,-5.14581e-10
474,-0,0.0589467,-9.93522e-11
475,-0,0.00610505,-7.35547e-10
476,-0,0.0731883,-8.57259e-10
477,-0,0.034817,3.93469e-10
478,-0,0.0412225,2.95167e-10
479,-0,0.00303748,-2.48925e-10
480,-0,-0.0728841,2.46884e-10
481,-0,0.0311493,1.16049e-10
482,-0,-0.0480936,4.95783e-11
483,-0,0.0504072,8.24001e-10
484,-0,-0.0539492,1.58349e-10
485,-0,0.0272786,-8.96731e-10
486,-0,-0.061028,-2.8734e-10
487,-0,0.0286796,-7.77997e-10
488,-0,0.0133034,1.26661e-09
489,-0,0.00589982,1.94822e-10
490,-0,0.0284048,5.83129e-10
491,-0,0.0153109,4.0468e-11
492,-0,0.0259796,-3.18274e-10
493,-0,0.0325841,1.56322e-09
494,-0,-0.0233095,1.78985e-10
495,-0,0.0334105,-6.95068e-11
496,-0,-0.00630165,6.69116e-10
497,-0,0.0153111,-3.44196e-10
498,-0,-0.0222115,1.05657e-09
499,-0,0.0479934,3.17423e-10
500,-0,-0.0525435,1.13067e-09
501,-0,0.0293713,4.42924e-10
502,-0,0.0013237,-7.50089e-10
503,-0,0.0891685,-2.74641e-11
504,-0,0.0467179,-1.13356e-09
505,-0,0.00322351,5.07546e-10
506,-0,0.0273683,-6.45007e-10
